totalWhitePixels,areaQ1,perimeterQ1,verticalDiagQ1,horizontalDiagQ1,solidity1,areaQ2,perimeterQ2,verticalDiagQ2,horizontalDiagQ2,solidity2,areaQ3,perimeterQ3,verticalDiagQ3,horizontalDiagQ3,solidity3,areaQ4,perimeterQ4,verticalDiagQ4,horizontalDiagQ4,solidity4,diagnostic
219.0,22.0,20.485281109809875,7.615773105863909,5.0990195135927845,0.9166666666666666,39.0,27.313708305358887,8.06225774829855,9.848857801796104,0.8478260869565217,37.5,22.72792160511017,7.0710678118654755,8.06225774829855,1.0,46.5,28.727921724319458,10.198039027185569,7.280109889280518,0.9393939393939394,1.0
319.0,93.0,43.455843567848206,12.041594578792296,13.601470508735444,0.8651162790697674,0.0,0.0,0.0,0.0,0.0,116.0,43.1126971244812,14.142135623730951,14.0,0.928,34.0,25.313708186149597,8.54400374531753,7.280109889280518,0.8831168831168831,1.0
351.0,82.0,35.79898953437805,11.0,11.40175425099138,0.9371428571428572,49.0,28.14213502407074,9.219544457292887,9.433981132056603,0.9158878504672897,56.5,32.38477563858032,10.04987562112089,9.848857801796104,0.8692307692307693,71.0,32.97056233882904,10.04987562112089,10.198039027185569,0.9342105263157895,1.0
183.0,43.0,26.142135500907898,8.54400374531753,8.06225774829855,1.0,34.5,25.899494767189026,8.06225774829855,10.0,0.8625,0.0,0.0,0.0,0.0,0.0,52.5,29.55634891986847,9.848857801796104,9.055385138137417,0.9130434782608695,1.0
231.0,86.5,40.041629910469055,11.0,13.601470508735444,0.8781725888324873,46.0,30.97056221961975,8.94427190999916,10.770329614269007,0.8141592920353983,33.0,23.313708186149597,8.06225774829855,9.219544457292887,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,1.0
308.0,56.0,28.14213538169861,9.219544457292887,8.06225774829855,0.9911504424778761,44.0,25.313708186149597,8.54400374531753,9.219544457292887,0.9777777777777777,53.5,29.55634880065918,9.055385138137417,9.848857801796104,0.9067796610169492,77.0,53.455843687057495,11.0,16.278820596099706,0.652542372881356,1.0
189.0,49.5,29.55634880065918,9.219544457292887,9.055385138137417,0.868421052631579,59.0,33.79898941516876,9.219544457292887,11.180339887498949,0.8489208633093526,0.0,0.0,0.0,0.0,0.0,28.5,23.899494647979736,8.0,7.0710678118654755,0.8769230769230769,0.0
480.0,42.5,26.727921843528748,8.94427190999916,8.0,0.9550561797752809,162.0,56.76955258846283,17.029386365926403,18.0,0.8481675392670157,38.5,26.727921724319458,8.246211251235321,9.433981132056603,0.8461538461538461,133.5,47.69848442077637,15.0,15.524174696260024,0.9050847457627119,1.0
309.0,55.0,28.14213526248932,7.615773105863909,10.0,1.0,51.0,30.14213538169861,7.615773105863909,11.40175425099138,0.9107142857142857,76.5,36.3847758769989,11.0,11.40175425099138,0.884393063583815,35.5,27.071067571640015,7.615773105863909,8.06225774829855,0.8554216867469879,1.0
157.0,25.5,21.899494767189026,7.615773105863909,6.324555320336759,0.8947368421052632,21.5,19.071067571640015,6.324555320336759,7.810249675906654,0.9555555555555556,43.0,27.313708186149597,8.06225774829855,9.433981132056603,0.8865979381443299,8.0,10.828427076339722,3.1622776601683795,3.1622776601683795,1.0,1.0
300.0,47.0,30.14213538169861,9.219544457292887,8.0,0.8703703703703703,30.5,23.899494647979736,8.06225774829855,9.219544457292887,0.8714285714285714,100.0,45.45584321022034,14.142135623730951,14.0,0.8,39.5,26.727921724319458,8.54400374531753,8.06225774829855,0.8777777777777778,1.0
345.0,66.5,32.38477599620819,10.198039027185569,10.04987562112089,0.9432624113475178,91.5,36.041630268096924,11.045361017187261,12.041594578792296,0.9838709677419355,64.0,33.79898965358734,9.486832980505138,11.40175425099138,0.9078014184397163,44.5,28.727921843528748,8.94427190999916,9.055385138137417,0.8557692307692307,1.0
233.0,61.0,32.97056245803833,10.44030650891055,10.0,0.8905109489051095,23.5,19.899494647979736,6.708203932499369,8.48528137423857,1.0,60.0,34.14213514328003,10.04987562112089,10.770329614269007,0.821917808219178,15.0,15.656854152679443,5.0990195135927845,4.0,0.9375,1.0
597.0,132.0,48.28427004814148,15.297058540778355,15.811388300841896,0.88,166.0,55.94112515449524,17.029386365926403,18.0,0.8534704370179949,45.5,28.727921843528748,9.219544457292887,10.0,0.883495145631068,132.5,48.52691090106964,15.132745950421556,16.278820596099706,0.8922558922558923,1.0
322.0,44.5,31.55634880065918,8.06225774829855,10.198039027185569,0.8240740740740741,68.0,34.97056245803833,10.04987562112089,11.180339887498949,0.8662420382165605,84.5,36.3847758769989,11.0,11.40175425099138,0.9337016574585635,37.0,25.313708305358887,8.54400374531753,7.280109889280518,0.925,1.0
